test_id	ncbi_gene_link	gene_symbol	gene_id	gene_desc	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	linear_fold_change	"diff_exp
Bpifa5	Bpifa5	Bpifa5	67135	"BPI fold containing family A, member 5"	chr2:154162606-154168446	pomc	nonpomc	NOTEST	0	0.008	inf	0	1.00E+00	1.00E+00	no	inf	No
Bpifa3	Bpifa3	Bpifa3	73388	"BPI fold containing family A, member 3"	chr2:154130346-154138355	pomc	nonpomc	NOTEST	0	0.006	inf	0	1.00E+00	1.00E+00	no	inf	No
Gm13580	Gm13580	Gm13580	100039176	predicted gene 13580	chr2:60411524-60412574	pomc	nonpomc	NOTEST	0	0.025	inf	0	1.00E+00	1.00E+00	no	inf	No
1700011A15Rik	1700011A15Rik	1700011A15Rik	.	.	chr15:101431013-101491512	pomc	nonpomc	NOTEST	0	0.009	inf	0	1.00E+00	1.00E+00	no	inf	No
Bpi	Bpi	Bpi	329547	bactericidal permeablility increasing protein	chr2:158258240-158284531	pomc	nonpomc	NOTEST	0	0.014	inf	0	1.00E+00	1.00E+00	no	inf	No
Hoxb5	Hoxb5	Hoxb5	15413	homeobox B5	chr11:96303511-96306121	pomc	nonpomc	NOTEST	0	0.004	inf	0	1.00E+00	1.00E+00	no	inf	No
1700011F14Rik	1700011F14Rik	1700011F14Rik	.	.	chr19:58512001-58553085	pomc	nonpomc	NOTEST	0	0.007	inf	0	1.00E+00	1.00E+00	no	inf	No
Mir5119	Mir5119	Mir5119	100628613	microRNA 5119	chr11:98262605-98262662	pomc	nonpomc	NOTEST	0	21.367	inf	0	1.00E+00	1.00E+00	no	inf	No
Gm590	Gm590	Gm590	235634	predicted gene 590	chr9:110914738-110916861	pomc	nonpomc	NOTEST	0	0.020	inf	0	1.00E+00	1.00E+00	no	inf	No
4930583K01Rik	4930583K01Rik	4930583K01Rik	67745	RIKEN cDNA 4930583K01 gene	chr7:118243906-118245551	pomc	nonpomc	NOTEST	0	0.123	inf	0	1.00E+00	1.00E+00	no	inf	No
4921504E06Rik	4921504E06Rik	4921504E06Rik	70909	RIKEN cDNA 4921504E06 gene	chr2:19462836-19553910	pomc	nonpomc	NOTEST	0	0.017	inf	0	1.00E+00	1.00E+00	no	inf	No
Sirpb1a	Sirpb1a	Sirpb1a	320832	signal-regulatory protein beta 1A	chr3:15371826-15426427	pomc	nonpomc	NOTEST	0	0.008	inf	0	1.00E+00	1.00E+00	no	inf	No
Lbx2	Lbx2	Lbx2	16815	ladybird homeobox homolog 2 (Drosophila)	chr6:83086364-83088241	pomc	nonpomc	NOTEST	0	0.105	inf	0	1.00E+00	1.00E+00	no	inf	No
BC048602	BC048602	BC048602	100126269	cDNA sequence BC048602	chr15:35307009-35328535	pomc	nonpomc	NOTEST	0	0.010	inf	0	1.00E+00	1.00E+00	no	inf	No
Ubd	Ubd	Ubd	24108	ubiquitin D	chr17:37193891-37196101	pomc	nonpomc	NOTEST	0	0.029	inf	0	1.00E+00	1.00E+00	no	inf	No
BC021614	BC021614	BC021614	225884	cDNA sequence BC021614	chr19:4057486-4059294	pomc	nonpomc	NOTEST	0	0.013	inf	0	1.00E+00	1.00E+00	no	inf	No
Krt40	Krt40	Krt40	406221	keratin 40	chr11:99537484-99543158	pomc	nonpomc	NOTEST	0	0.006	inf	0	1.00E+00	1.00E+00	no	inf	No
Hbq1b	Hbq1b	Hbq1b	544763	"hemoglobin, theta 1B"	chr11:32286963-32287912	pomc	nonpomc	NOTEST	0	0.043	inf	0	1.00E+00	1.00E+00	no	inf	No
Gabra6	Gabra6	Gabra6	14399	"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6"	chr11:42306436-42321051	pomc	nonpomc	NOTEST	0	0.007	inf	0	1.00E+00	1.00E+00	no	inf	No
Slc7a12	Slc7a12	Slc7a12	140918	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 12"	chr3:14480698-14505818	pomc	nonpomc	NOTEST	0	0.011	inf	0	1.00E+00	1.00E+00	no	inf	No
Defb50	Defb50	Defb50	387334	defensin beta 50	chr8:21823538-21831296	pomc	nonpomc	NOTEST	0	0.058	inf	0	1.00E+00	1.00E+00	no	inf	No
2810408I11Rik	2810408I11Rik	2810408I11Rik	69941	RIKEN cDNA 2810408I11 gene	chr1:64679868-64690659	pomc	nonpomc	NOTEST	0	0.353	inf	0	1.00E+00	1.00E+00	no	inf	No
Krt72-ps	Krt72-ps	Krt72-ps	.	.	chr15:101776559-101786458	pomc	nonpomc	NOTEST	0	0.004	inf	0	1.00E+00	1.00E+00	no	inf	No
Hils1	Hils1	Hils1	54388	histone H1-like protein in spermatids 1	chr11:94962821-94976327	pomc	nonpomc	NOTEST	0	0.024	inf	0	1.00E+00	1.00E+00	no	inf	No
Spag11b	Spag11b	Spag11b	546038	sperm associated antigen 11B	chr8:19140758-19143010	pomc	nonpomc	NOTEST	0	0.036	inf	0	1.00E+00	1.00E+00	no	inf	No
Cxcl1	Cxcl1	Cxcl1	14825	chemokine (C-X-C motif) ligand 1	chr5:90891244-90893115	pomc	nonpomc	NOTEST	0	0.075	inf	0	1.00E+00	1.00E+00	no	inf	No
Ear3	Ear3	Ear3	53876	"eosinophil-associated, ribonuclease A family, member 3"	chr14:44102653-44103531	pomc	nonpomc	NOTEST	0	0.031	inf	0	1.00E+00	1.00E+00	no	inf	No
Gstt4	Gstt4	Gstt4	75886	"glutathione S-transferase, theta 4"	chr10:75814943-75822543	pomc	nonpomc	NOTEST	0	0.033	inf	0	1.00E+00	1.00E+00	no	inf	No
Mrgpra2a	Mrgpra2a	Mrgpra2a	668727	"MAS-related GPR, member A2A"	chr7:47426328-47452139	pomc	nonpomc	NOTEST	0	0.008	inf	0	1.00E+00	1.00E+00	no	inf	No
P2ry10	P2ry10	P2ry10	78826	"purinergic receptor P2Y, G-protein coupled 10"	chrX:107089334-107104970	pomc	nonpomc	NOTEST	0	0.007	inf	0	1.00E+00	1.00E+00	no	inf	No
Krt76	Krt76	Krt76	77055	keratin 76	chr15:101884350-101892920	pomc	nonpomc	NOTEST	0	0.070	inf	0	1.00E+00	1.00E+00	no	inf	No
Scarna3a	Scarna3a	Scarna3a	100217414	small Cajal body-specific RNA 3A	chr1:159232325-159347580	pomc	nonpomc	NOTEST	0	1.461	inf	0	1.00E+00	1.00E+00	no	inf	No
Ins2	Ins2	Ins2	16334	insulin II	chr7:142678655-142679708	pomc	nonpomc	NOTEST	0	0.135	inf	0	1.00E+00	1.00E+00	no	inf	No
Akr1c18	Akr1c18	Akr1c18	105349	"aldo-keto reductase family 1, member C18"	chr13:4132626-4150631	pomc	nonpomc	NOTEST	0	0.035	inf	0	1.00E+00	1.00E+00	no	inf	No
Ins1	Ins1	Ins1	16333	insulin I	chr19:52264322-52265458	pomc	nonpomc	NOTEST	0	0.009	inf	0	1.00E+00	1.00E+00	no	inf	No
7630403G23Rik	7630403G23Rik	7630403G23Rik	77119	RIKEN cDNA 7630403G23 gene	chr9:34042370-34059019	pomc	nonpomc	NOTEST	0	0.083	inf	0	1.00E+00	1.00E+00	no	inf	No
Mmp8	Mmp8	Mmp8	17394	matrix metallopeptidase 8	chr9:7558428-7568486	pomc	nonpomc	NOTEST	0	0.009	inf	0	1.00E+00	1.00E+00	no	inf	No
Pabpc2	Pabpc2	Pabpc2	18459	"poly(A) binding protein, cytoplasmic 2"	chr18:39773496-39776082	pomc	nonpomc	NOTEST	0	0.003	inf	0	1.00E+00	1.00E+00	no	inf	No
Fam167b	Fam167b	Fam167b	230766	"family with sequence similarity 167, member B"	chr4:129576814-129578580	pomc	nonpomc	NOTEST	0	0.176	inf	0	1.00E+00	1.00E+00	no	inf	No
4930471M09Rik	4930471M09Rik	4930471M09Rik	75787	RIKEN cDNA 4930471M09 gene	chr6:91430459-91440854	pomc	nonpomc	NOTEST	0	0.107	inf	0	1.00E+00	1.00E+00	no	inf	No
Mmp3	Mmp3	Mmp3	17392	matrix metallopeptidase 3	chr9:7445821-7455974	pomc	nonpomc	NOTEST	0	0.004	inf	0	1.00E+00	1.00E+00	no	inf	No
Rnf186	Rnf186	Rnf186	66825	ring finger protein 186	chr4:138967111-138968366	pomc	nonpomc	NOTEST	0	0.011	inf	0	1.00E+00	1.00E+00	no	inf	No
Mnx1	Mnx1	Mnx1	15285	motor neuron and pancreas homeobox 1	chr5:29473822-29478470	pomc	nonpomc	NOTEST	0	0.008	inf	0	1.00E+00	1.00E+00	no	inf	No
Fbp1	Fbp1	Fbp1	14121	fructose bisphosphatase 1	chr13:62864752-62888236	pomc	nonpomc	NOTEST	0	0.100	inf	0	1.00E+00	1.00E+00	no	inf	No
Akap4	Akap4	Akap4	11643	A kinase (PRKA) anchor protein 4	chrX:7067518-7078606	pomc	nonpomc	NOTEST	0	0.002	inf	0	1.00E+00	1.00E+00	no	inf	No
Olfr550	Olfr550	Olfr550	259108	olfactory receptor 550	chr7:102578468-102579506	pomc	nonpomc	NOTEST	0	0.008	inf	0	1.00E+00	1.00E+00	no	inf	No
Fmo6	Fmo6	Fmo6	226565	flavin containing monooxygenase 6	chr1:162916550-162937225	pomc	nonpomc	NOTEST	0	0.017	inf	0	1.00E+00	1.00E+00	no	inf	No
Spink5	Spink5	Spink5	72432	"serine peptidase inhibitor, Kazal type 5"	chr18:43963240-44022487	pomc	nonpomc	NOTEST	0	0.001	inf	0	1.00E+00	1.00E+00	no	inf	No
Hbb-y	Hbb-y	Hbb-y	15135	"hemoglobin Y, beta-like embryonic chain"	chr7:103851753-103853207	pomc	nonpomc	NOTEST	0	0.070	inf	0	1.00E+00	1.00E+00	no	inf	No
Ostn	Ostn	Ostn	239790	osteocrin	chr16:27307640-27351209	pomc	nonpomc	NOTEST	0	0.006	inf	0	1.00E+00	1.00E+00	no	inf	No
Otc	Otc	Otc	18416	ornithine transcarbamylase	chrX:10252358-10321024	pomc	nonpomc	NOTEST	0	0.003	inf	0	1.00E+00	1.00E+00	no	inf	No
Olfr464	Olfr464	Olfr464	258407	olfactory receptor 464	chr11:87913919-87915003	pomc	nonpomc	NOTEST	0	0.015	inf	0	1.00E+00	1.00E+00	no	inf	No
Slc7a9	Slc7a9	Slc7a9	30962	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 9"	chr7:35449091-35466034	pomc	nonpomc	NOTEST	0	0.013	inf	0	1.00E+00	1.00E+00	no	inf	No
Olfr460	Olfr460	Olfr460	258381	olfactory receptor 460	chr6:40529090-40910666	pomc	nonpomc	NOTEST	0	0.021	inf	0	1.00E+00	1.00E+00	no	inf	No
Cyp2c70	Cyp2c70	Cyp2c70	226105	"cytochrome P450, family 2, subfamily c, polypeptide 70"	chr19:40153360-40187286	pomc	nonpomc	NOTEST	0	0.006	inf	0	1.00E+00	1.00E+00	no	inf	No
G6b	G6b	G6b	106722	immunoreceptor tyrosine-based inhibitory motif (ITIM) containing platelet receptor	chr17:35062692-35066184	pomc	nonpomc	NOTEST	0	0.006	inf	0	1.00E+00	1.00E+00	no	inf	No
Otor	Otor	Otor	57329	otoraplin	chr2:143078491-143081699	pomc	nonpomc	NOTEST	0	0.042	inf	0	1.00E+00	1.00E+00	no	inf	No
Cpa3	Cpa3	Cpa3	12873	"carboxypeptidase A3, mast cell"	chr3:20215615-20242181	pomc	nonpomc	NOTEST	0	0.037	inf	0	1.00E+00	1.00E+00	no	inf	No
Serpina11	Serpina11	Serpina11	380780	"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11"	chr12:103980242-103989957	pomc	nonpomc	NOTEST	0	0.027	inf	0	1.00E+00	1.00E+00	no	inf	No
Ceacam12	Ceacam12	Ceacam12	67315	carcinoembryonic antigen-related cell adhesion molecule 12	chr7:18065928-18077986	pomc	nonpomc	NOTEST	0	0.007	inf	0	1.00E+00	1.00E+00	no	inf	No
A530053G22Rik	A530053G22Rik	A530053G22Rik	208079	RIKEN cDNA A530053G22 gene	chr6:60279042-60403707	pomc	nonpomc	NOTEST	0	0.031	inf	0	1.00E+00	1.00E+00	no	inf	No
Olfr46	Olfr46	Olfr46	18345	olfactory receptor 46	chr7:140601339-140611124	pomc	nonpomc	NOTEST	0	0.008	inf	0	1.00E+00	1.00E+00	no	inf	No
Spinlw1	Spinlw1	Spinlw1	.	.	chr2:164588342-164593571	pomc	nonpomc	NOTEST	0	0.013	inf	0	1.00E+00	1.00E+00	no	inf	No
Marco	Marco	Marco	17167	macrophage receptor with collagenous structure	chr1:120474537-120505084	pomc	nonpomc	NOTEST	0	0.039	inf	0	1.00E+00	1.00E+00	no	inf	No
Kpna7	Kpna7	Kpna7	381686	karyopherin alpha 7 (importin alpha 8)	chr5:144983743-145009636	pomc	nonpomc	NOTEST	0	0.003	inf	0	1.00E+00	1.00E+00	no	inf	No
Spint4	Spint4	Spint4	78239	"serine protease inhibitor, Kunitz type 4"	chr2:164698500-164702448	pomc	nonpomc	NOTEST	0	0.022	inf	0	1.00E+00	1.00E+00	no	inf	No
Mslnl	Mslnl	Mslnl	328783	mesothelin-like	chr17:25736039-25748330	pomc	nonpomc	NOTEST	0	0.010	inf	0	1.00E+00	1.00E+00	no	inf	No
Krt5	Krt5	Krt5	110308	keratin 5	chr15:101707069-101712891	pomc	nonpomc	NOTEST	0	0.023	inf	0	1.00E+00	1.00E+00	no	inf	No
G6pc2	G6pc2	G6pc2	14378	"glucose-6-phosphatase, catalytic, 2"	chr2:69219997-69227988	pomc	nonpomc	NOTEST	0	0.009	inf	0	1.00E+00	1.00E+00	no	inf	No
Defb47	Defb47	Defb47	654465	defensin beta 47	chr14:62998076-63001160	pomc	nonpomc	NOTEST	0	0.340	inf	0	1.00E+00	1.00E+00	no	inf	No
Otx2os1	Otx2os1	Otx2os1	606497	orthodenticle homeobox 2 opposite strand 1	chr14:48669287-48793348	pomc	nonpomc	NOTEST	0	0.061	inf	0	1.00E+00	1.00E+00	no	inf	No
Cpa1	Cpa1	Cpa1	109697	"carboxypeptidase A1, pancreatic"	chr6:30639220-30645361	pomc	nonpomc	NOTEST	0	0.004	inf	0	1.00E+00	1.00E+00	no	inf	No
Cxcl2	Cxcl2	Cxcl2	20310	chemokine (C-X-C motif) ligand 2	chr5:90903898-90905938	pomc	nonpomc	NOTEST	0	0.023	inf	0	1.00E+00	1.00E+00	no	inf	No
Neurog1	Neurog1	Neurog1	18014	neurogenin 1	chr13:56250497-56252163	pomc	nonpomc	NOTEST	0	0.012	inf	0	1.00E+00	1.00E+00	no	inf	No
1700104A03Rik	1700104A03Rik	1700104A03Rik	.	.	chr9:54268579-54341777	pomc	nonpomc	NOTEST	0	0.011	inf	0	1.00E+00	1.00E+00	no	inf	No
Grxcr2	Grxcr2	Grxcr2	332309	"glutaredoxin, cysteine rich 2"	chr18:41986200-41999049	pomc	nonpomc	NOTEST	0	0.055	inf	0	1.00E+00	1.00E+00	no	inf	No
Chst4	Chst4	Chst4	26887	carbohydrate (chondroitin 6/keratan) sulfotransferase 4	chr8:110029074-110039334	pomc	nonpomc	NOTEST	0	0.020	inf	0	1.00E+00	1.00E+00	no	inf	No
Grxcr1	Grxcr1	Grxcr1	433899	"glutaredoxin, cysteine rich 1"	chr5:68031834-68166398	pomc	nonpomc	NOTEST	0	0.021	inf	0	1.00E+00	1.00E+00	no	inf	No
1110036E04Rik	1110036E04Rik	1110036E04Rik	68697	RIKEN cDNA 1110036E04 gene	chr9:64049828-64054100	pomc	nonpomc	NOTEST	0	0.031	inf	0	1.00E+00	1.00E+00	no	inf	No
Rnase11	Rnase11	Rnase11	497113	"ribonuclease, RNase A family, 11 (non-active)"	chr14:51049516-51050095	pomc	nonpomc	NOTEST	0	0.018	inf	0	1.00E+00	1.00E+00	no	inf	No
Cd79b	Cd79b	Cd79b	15985	CD79B antigen	chr11:106311340-106314529	pomc	nonpomc	NOTEST	0	0.022	inf	0	1.00E+00	1.00E+00	no	inf	No
Crygd	Crygd	Crygd	12967	"crystallin, gamma D"	chr1:65061837-65063440	pomc	nonpomc	NOTEST	0	0.020	inf	0	1.00E+00	1.00E+00	no	inf	No
Slc6a14	Slc6a14	Slc6a14	56774	"solute carrier family 6 (neurotransmitter transporter), member 14"	chrX:21714899-21742357	pomc	nonpomc	NOTEST	0	0.010	inf	0	1.00E+00	1.00E+00	no	inf	No
Krt84	Krt84	Krt84	16680	keratin 84	chr15:101525025-101532820	pomc	nonpomc	NOTEST	0	0.006	inf	0	1.00E+00	1.00E+00	no	inf	No
Cryge	Cryge	Cryge	12968	"crystallin, gamma E"	chr1:65048556-65051163	pomc	nonpomc	NOTEST	0	0.033	inf	0	1.00E+00	1.00E+00	no	inf	No
1700109G15Rik	1700109G15Rik	1700109G15Rik	78471	RIKEN cDNA 1700109G15 gene	chr11:84716975-84720432	pomc	nonpomc	NOTEST	0	0.046	inf	0	1.00E+00	1.00E+00	no	inf	No
Cd7	Cd7	Cd7	12516	CD7 antigen	chr11:121036748-121039478	pomc	nonpomc	NOTEST	0	0.035	inf	0	1.00E+00	1.00E+00	no	inf	No
Lrr1	Lrr1	Lrr1	69706	leucine rich repeat protein 1	chr12:69168813-69179010	pomc	nonpomc	NOTEST	0	0.033	inf	0	1.00E+00	1.00E+00	no	inf	No
Ttc23l	Ttc23l	Ttc23l	75777	tetratricopeptide repeat domain 23-like	chr15:10503946-10558668	pomc	nonpomc	NOTEST	0	0.003	inf	0	1.00E+00	1.00E+00	no	inf	No
A630023A22Rik	A630023A22Rik	A630023A22Rik	105518	RIKEN cDNA A630023A22 gene	chr14:34051129-34102754	pomc	nonpomc	NOTEST	0	0.005	inf	0	1.00E+00	1.00E+00	no	inf	No
Cyct	Cyct	Cyct	13067	"cytochrome c, testis"	chr2:76353942-76360448	pomc	nonpomc	NOTEST	0	0.141	inf	0	1.00E+00	1.00E+00	no	inf	No
Zg16	Zg16	Zg16	69036	zymogen granule protein 16	chr7:127050155-127051977	pomc	nonpomc	NOTEST	0	0.019	inf	0	1.00E+00	1.00E+00	no	inf	No
Fgf4	Fgf4	Fgf4	14175	fibroblast growth factor 4	chr7:144861385-144865243	pomc	nonpomc	NOTEST	0	0.003	inf	0	1.00E+00	1.00E+00	no	inf	No
Olfr722	Olfr722	Olfr722	258487	olfactory receptor 722	chr14:49894257-49901941	pomc	nonpomc	NOTEST	0	0.010	inf	0	1.00E+00	1.00E+00	no	inf	No
Nat3	Nat3	Nat3	17962	N-acetyltransferase 3	chr8:67523853-67548627	pomc	nonpomc	NOTEST	0	0.032	inf	0	1.00E+00	1.00E+00	no	inf	No
Lrit1	Lrit1	Lrit1	239037	"leucine-rich repeat, immunoglobulin-like and transmembrane domains 1"	chr14:37054829-37064938	pomc	nonpomc	NOTEST	0	0.003	inf	0	1.00E+00	1.00E+00	no	inf	No
Krt86	Krt86	Krt86	16679	keratin 86	chr15:101431013-101491512	pomc	nonpomc	NOTEST	0	0.024	inf	0	1.00E+00	1.00E+00	no	inf	No
Klrb1f	Klrb1f	Klrb1f	232408	killer cell lectin-like receptor subfamily B member 1F	chr6:129045900-129057471	pomc	nonpomc	NOTEST	0	0.007	inf	0	1.00E+00	1.00E+00	no	inf	No
Fgf21	Fgf21	Fgf21	56636	fibroblast growth factor 21	chr7:45613889-45615490	pomc	nonpomc	NOTEST	0	0.035	inf	0	1.00E+00	1.00E+00	no	inf	No
Duoxa2	Duoxa2	Duoxa2	66811	dual oxidase maturation factor 2	chr2:122298899-122302885	pomc	nonpomc	NOTEST	0	0.050	inf	0	1.00E+00	1.00E+00	no	inf	No
Crygc	Crygc	Crygc	12966	"crystallin, gamma C"	chr1:65071530-65073521	pomc	nonpomc	NOTEST	0	0.053	inf	0	1.00E+00	1.00E+00	no	inf	No
Gsc2	Gsc2	Gsc2	195333	goosecoid homebox 2	chr16:17913553-17915059	pomc	nonpomc	NOTEST	0	0.015	inf	0	1.00E+00	1.00E+00	no	inf	No
1810053B23Rik	1810053B23Rik	1810053B23Rik	69857	RIKEN cDNA 1810053B23 gene	chr16:93343715-93359543	pomc	nonpomc	NOTEST	0	0.008	inf	0	1.00E+00	1.00E+00	no	inf	No
Habp2	Habp2	Habp2	226243	hyaluronic acid binding protein 2	chr19:56287937-56390035	pomc	nonpomc	NOTEST	0	0.006	inf	0	1.00E+00	1.00E+00	no	inf	No
Scgb1c1	Scgb1c1	Scgb1c1	338417	"secretoglobin, family 1C, member 1"	chr7:140835495-140846769	pomc	nonpomc	NOTEST	0	0.215	inf	0	1.00E+00	1.00E+00	no	inf	No
Sprr2b	Sprr2b	Sprr2b	20756	small proline-rich protein 2B	chr3:92316704-92318085	pomc	nonpomc	NOTEST	0	0.011	inf	0	1.00E+00	1.00E+00	no	inf	No
Tspo2	Tspo2	Tspo2	70026	translocator protein 2	chr17:48448434-48451501	pomc	nonpomc	NOTEST	0	0.029	inf	0	1.00E+00	1.00E+00	no	inf	No
Noto	Noto	Noto	384452	notochord homeobox	chr6:85423885-85428877	pomc	nonpomc	NOTEST	0	0.009	inf	0	1.00E+00	1.00E+00	no	inf	No
Mep1b	Mep1b	Mep1b	17288	meprin 1 beta	chr18:21072343-21100199	pomc	nonpomc	NOTEST	0	0.006	inf	0	1.00E+00	1.00E+00	no	inf	No
4930524O05Rik	4930524O05Rik	4930524O05Rik	75096	RIKEN cDNA 4930524O05 gene	chr19:10634232-10665210	pomc	nonpomc	NOTEST	0	0.017	inf	0	1.00E+00	1.00E+00	no	inf	No
Alb	Alb	Alb	11657	albumin	chr5:90460888-90476603	pomc	nonpomc	NOTEST	0	0.003	inf	0	1.00E+00	1.00E+00	no	inf	No
Krt79	Krt79	Krt79	223917	keratin 79	chr15:101929331-101940324	pomc	nonpomc	NOTEST	0	0.003	inf	0	1.00E+00	1.00E+00	no	inf	No
Fhl5	Fhl5	Fhl5	57756	four and a half LIM domains 5	chr4:25199908-25242876	pomc	nonpomc	NOTEST	0	0.032	inf	0	1.00E+00	1.00E+00	no	inf	No
Itih1	Itih1	Itih1	16424	"inter-alpha trypsin inhibitor, heavy chain 1"	chr14:30929179-30943289	pomc	nonpomc	NOTEST	0	0.005	inf	0	1.00E+00	1.00E+00	no	inf	No
Galntl5	Galntl5	Galntl5	67909	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5	chr5:25181479-25220289	pomc	nonpomc	NOTEST	0	0.006	inf	0	1.00E+00	1.00E+00	no	inf	No
Cryba4	Cryba4	Cryba4	12959	"crystallin, beta A4"	chr5:112246532-112252502	pomc	nonpomc	NOTEST	0	0.365	inf	0	1.00E+00	1.00E+00	no	inf	No
Ropn1	Ropn1	Ropn1	76378	"ropporin, rhophilin associated protein 1"	chr16:34651210-34678610	pomc	nonpomc	NOTEST	0	0.253	inf	0	1.00E+00	1.00E+00	no	inf	No
1700092K14Rik	1700092K14Rik	1700092K14Rik	73536	RIKEN cDNA 1700092K14 gene	chr11:114198257-114199199	pomc	nonpomc	NOTEST	0	0.412	inf	0	1.00E+00	1.00E+00	no	inf	No
Olfr750	Olfr750	Olfr750	404319	olfactory receptor 750	chr14:51070310-51071442	pomc	nonpomc	NOTEST	0	0.015	inf	0	1.00E+00	1.00E+00	no	inf	No
Lrrc30	Lrrc30	Lrrc30	240131	leucine rich repeat containing 30	chr17:67630964-67632723	pomc	nonpomc	NOTEST	0	0.004	inf	0	1.00E+00	1.00E+00	no	inf	No
4930471C04Rik	4930471C04Rik	4930471C04Rik	78176	RIKEN cDNA 4930471C04 gene	chr14:64099294-64104235	pomc	nonpomc	NOTEST	0	0.079	inf	0	1.00E+00	1.00E+00	no	inf	No
Fam150a	Fam150a	Fam150a	620393	"family with sequence similarity 150, member A"	chr1:6359330-6394731	pomc	nonpomc	NOTEST	0	0.011	inf	0	1.00E+00	1.00E+00	no	inf	No
Msgn1	Msgn1	Msgn1	56184	mesogenin 1	chr12:11208381-11208948	pomc	nonpomc	NOTEST	0	0.020	inf	0	1.00E+00	1.00E+00	no	inf	No
Clec2i	Clec2i	Clec2i	93675	"C-type lectin domain family 2, member i"	chr6:128848043-128896848	pomc	nonpomc	NOTEST	0	0.022	inf	0	1.00E+00	1.00E+00	no	inf	No
Gata1	Gata1	Gata1	14460	GATA binding protein 1	chrX:7959259-7967815	pomc	nonpomc	NOTEST	0	0.007	inf	0	1.00E+00	1.00E+00	no	inf	No
4930470P17Rik	4930470P17Rik	4930470P17Rik	67637	RIKEN cDNA 4930470P17 gene	chr2:170579417-170602017	pomc	nonpomc	NOTEST	0	0.074	inf	0	1.00E+00	1.00E+00	no	inf	No
1700108M19Rik	1700108M19Rik	1700108M19Rik	.	.	chr12:36208344-36253398	pomc	nonpomc	NOTEST	0	0.048	inf	0	1.00E+00	1.00E+00	no	inf	No
Alox12e	Alox12e	Alox12e	11685	"arachidonate lipoxygenase, epidermal"	chr11:70315612-70322518	pomc	nonpomc	NOTEST	0	0.008	inf	0	1.00E+00	1.00E+00	no	inf	No
Gsdmc	Gsdmc	Gsdmc	83492	gasdermin C	chr15:63775970-63808739	pomc	nonpomc	NOTEST	0	0.004	inf	0	1.00E+00	1.00E+00	no	inf	No
Fgg	Fgg	Fgg	99571	fibrinogen gamma chain	chr3:83007895-83015049	pomc	nonpomc	NOTEST	0	0.013	inf	0	1.00E+00	1.00E+00	no	inf	No
Acnat2	Acnat2	Acnat2	209186	acyl-coenzyme A amino acid N-acyltransferase 2	chr4:49379844-49408151	pomc	nonpomc	NOTEST	0	0.014	inf	0	1.00E+00	1.00E+00	no	inf	No
Nps	Nps	Nps	100043254	neuropeptide S	chr7:135268618-135272942	pomc	nonpomc	NOTEST	0	0.029	inf	0	1.00E+00	1.00E+00	no	inf	No
Serpina1c	Serpina1c	Serpina1c	20702	"serine (or cysteine) peptidase inhibitor, clade A, member 1C"	chr12:103894925-103904950	pomc	nonpomc	NOTEST	0	0.010	inf	0	1.00E+00	1.00E+00	no	inf	No
Vmn2r52	Vmn2r52	Vmn2r52	384534	"vomeronasal 2, receptor 52"	chr7:10158651-10176286	pomc	nonpomc	NOTEST	0	0.008	inf	0	1.00E+00	1.00E+00	no	inf	No
Znrf4	Znrf4	Znrf4	20834	zinc and ring finger 4	chr17:56511247-56512483	pomc	nonpomc	NOTEST	0	0.013	inf	0	1.00E+00	1.00E+00	no	inf	No
Nkg7	Nkg7	Nkg7	72310	natural killer cell group 7 sequence	chr7:43437137-43438246	pomc	nonpomc	NOTEST	0	0.126	inf	0	1.00E+00	1.00E+00	no	inf	No
Rubie	Rubie	Rubie	100873094	RNA upstream of Bmp4 expressed in inner ear	chr14:46568330-46575851	pomc	nonpomc	NOTEST	0	0.005	inf	0	1.00E+00	1.00E+00	no	inf	No
Defb2	Defb2	Defb2	13215	defensin beta 2	chr8:21839925-21843481	pomc	nonpomc	NOTEST	0	0.138	inf	0	1.00E+00	1.00E+00	no	inf	No
Ctla4	Ctla4	Ctla4	12477	cytotoxic T-lymphocyte-associated protein 4	chr1:60909024-60915830	pomc	nonpomc	NOTEST	0	0.010	inf	0	1.00E+00	1.00E+00	no	inf	No
Cpz	Cpz	Cpz	242939	carboxypeptidase Z	chr5:35502217-35525626	pomc	nonpomc	NOTEST	0	0.030	inf	0	1.00E+00	1.00E+00	no	inf	No
Fam83c	Fam83c	Fam83c	71405	"family with sequence similarity 83, member C"	chr2:155829182-155834854	pomc	nonpomc	NOTEST	0	0.016	inf	0	1.00E+00	1.00E+00	no	inf	No
H2-M11	H2-M11	H2-M11	224754	"histocompatibility 2, M region locus 11"	chr17:36547074-36549252	pomc	nonpomc	NOTEST	0	0.008	inf	0	1.00E+00	1.00E+00	no	inf	No
Lyzl4	Lyzl4	Lyzl4	69032	lysozyme-like 4	chr9:121577842-121641566	pomc	nonpomc	NOTEST	0	0.044	inf	0	1.00E+00	1.00E+00	no	inf	No
